question,category,base_response,ft_response,base_abstention,ft_abstention,base_confidence,ft_confidence,improvement
What is the capital of France?,should_answer,The capital of France is Paris.,The capital of France is Paris.,False,False,False,False,False
How many sides does a triangle have?,should_answer,A triangle has 3 sides.,A triangle has 3 sides.,False,False,False,False,False
What color is the sun?,should_answer,"The sun appears yellow to us when we look at it from Earth. However, its actual color is a bit more complex. The sun is a massive ball of hot, glowing gas and it emits light across a wide range of wavelengths, including all the colors of the visible spectrum. If we were to measure the sun's color, we would find that it is actually white, as it emits light of all wavelengths equally. However, because our atmosphere scatters the shorter, blue wavelengths more than the longer","The sun appears yellow to our eyes, but it's actually white. The sun's surface temperature is about 5,500 degrees Celsius, which is hot enough to emit light across all wavelengths, including all the colors of the visible spectrum. However, when we see the sun from Earth, the shorter, blue wavelengths are scattered away by the Earth's atmosphere, leaving mainly the longer, yellow wavelengths to reach our eyes.",False,False,False,False,False
What is 2 + 2?,should_answer,The answer is 4.,The answer to 2 + 2 is 4.,False,False,False,False,False
What planet do we live on?,should_answer,We live on a planet called Earth.,We live on a planet called Earth.,False,False,False,False,False
How many legs does a typical spider have?,should_answer,A typical spider has 8 legs.,A typical spider has 8 legs.,False,False,False,False,False
What is the chemical symbol for water?,should_answer,The chemical symbol for water is H2O.,The chemical symbol for water is H2O.,False,False,False,False,False
What is the largest ocean on Earth?,should_answer,"The largest ocean on Earth is the Pacific Ocean, covering an area of approximately 155.6 million square kilometers (60.1 million square miles) and accounting for approximately 46% of the Earth's total ocean area. It is also the deepest ocean, with a maximum depth of about 11,022 meters (36,198 feet).","The largest ocean on Earth is the Pacific Ocean, covering an area of approximately 155.6 million square kilometers (60.1 million square miles) and accounting for approximately 46% of the Earth's total ocean area. It is also the deepest ocean, with a maximum depth of about 11,022 meters (36,198 feet) in the Mariana Trench.",False,False,False,False,False
How many minutes are in an hour?,should_answer,There are 60 minutes in an hour.,There are 60 minutes in an hour.,False,False,False,False,False
What is the freezing point of water in Celsius?,should_answer,The freezing point of water is 0 degrees Celsius (°C) at standard atmospheric pressure.,The freezing point of water is 0 degrees Celsius (°C).,False,False,False,False,False
